run_id,load,ari,ari_s,drift_ratio
OK → FD:07,0 HP,0.98,0.99,0.25
OK → FD:14,0 HP,0.98,0.99,0.20
OK → FD:21,0 HP,0.95,0.97,0.26
OK → FD:28,0 HP,0.96,0.97,0.17
OK → FD:07 → FD:14,0 HP,0.95,0.96,0.23
OK → FD:14 → FD:21,0 HP,0.97,0.98,0.24
OK → FD:21 → FD:28,0 HP,0.85,0.86,0.22
OK → FD:07,1 HP,0.96,0.98,0.27
OK → FD:14,1 HP,0.94,0.97,0.25
OK → FD:21,1 HP,0.91,0.93,0.29
OK → FD:28,1 HP,0.94,0.96,0.20
OK → FD:07 → FD:14,1 HP,0.92,0.93,0.25
OK → FD:14 → FD:21,1 HP,0.82,0.84,0.26
OK → FD:21 → FD:28,1 HP,0.90,0.92,0.24
OK → FD:07,2 HP,0.98,1.00,0.26
OK → FD:14,2 HP,0.78,0.79,0.25
OK → FD:21,2 HP,0.86,0.89,0.29
OK → FD:28,2 HP,0.97,0.99,0.19
OK → FD:07 → FD:14,2 HP,0.98,0.99,0.25
OK → FD:14 → FD:21,2 HP,0.87,0.88,0.27
OK → FD:21 → FD:28,2 HP,0.83,0.84,0.23
OK → FD:07,3 HP,0.94,0.97,0.24
OK → FD:14,3 HP,0.93,0.94,0.23
OK → FD:21,3 HP,0.93,0.96,0.25
OK → FD:28,3 HP,0.96,0.96,0.15
OK → FD:07 → FD:14,3 HP,0.94,0.96,0.24
OK → FD:14 → FD:21,3 HP,0.93,0.94,0.25
OK → FD:21 → FD:28,3 HP,0.87,0.89,0.20
Avg.,,0.92,0.94,0.24
