subject,ari,ari_s,drift_ratio
14,$0.88\pm0.04$,$0.92\pm0.03$,$0.26\pm0.09$
2,$0.84\pm0.09$,$0.90\pm0.08$,$0.29\pm0.08$
9,$0.83\pm0.10$,$0.89\pm0.09$,$0.27\pm0.08$
4,$0.80\pm0.11$,$0.84\pm0.12$,$0.24\pm0.08$
7,$0.78\pm0.06$,$0.82\pm0.08$,$0.27\pm0.09$
3,$0.75\pm0.15$,$0.83\pm0.14$,$0.27\pm0.07$
5,$0.75\pm0.12$,$0.83\pm0.12$,$0.35\pm0.06$
13,$0.73\pm0.12$,$0.82\pm0.11$,$0.33\pm0.06$
12,$0.71\pm0.11$,$0.71\pm0.16$,$0.27\pm0.08$
15,$0.66\pm0.16$,$0.68\pm0.18$,$0.32\pm0.06$
6,$0.66\pm0.12$,$0.69\pm0.15$,$0.30\pm0.07$
10,$0.65\pm0.15$,$0.68\pm0.17$,$0.34\pm0.05$
8,$0.59\pm0.14$,$0.58\pm0.12$,$0.25\pm0.05$
11,$0.40\pm0.18$,$0.45\pm0.22$,$0.29\pm0.07$
Overall,$0.72\pm0.17$,$0.76\pm0.18$,$0.29\pm0.08$
