run_id,emc:ari
run_16,0.925
run_23,0.923
run_65,0.917
run_59,0.916
run_108,0.913
run_43,0.910
run_69,0.910
run_29,0.909
run_82,0.904
run_88,0.903
run_56,0.903
run_34,0.902
run_89,0.900
run_78,0.899
run_79,0.899
run_40,0.898
run_75,0.898
run_27,0.896
run_10,0.895
run_18,0.895
run_20,0.894
run_87,0.893
run_77,0.893
run_73,0.892
run_64,0.892
run_57,0.889
run_105,0.887
run_12,0.886
run_98,0.886
run_83,0.885
run_30,0.885
run_52,0.884
run_51,0.882
run_50,0.882
run_81,0.881
run_61,0.880
run_60,0.879
run_39,0.879
run_49,0.878
run_31,0.876
run_104,0.876
run_26,0.876
run_80,0.876
run_99,0.875
run_53,0.875
run_36,0.875
run_14,0.874
run_85,0.874
run_21,0.873
run_102,0.872
run_24,0.872
run_22,0.871
run_76,0.870
run_107,0.869
run_58,0.868
run_106,0.868
run_42,0.866
run_84,0.865
run_67,0.864
run_35,0.860
run_55,0.858
run_68,0.856
run_28,0.855
run_63,0.850
run_93,0.848
run_44,0.845
run_72,0.845
run_94,0.842
run_38,0.842
run_62,0.839
run_46,0.835
run_45,0.834
run_97,0.832
run_71,0.830
run_25,0.829
run_66,0.829
run_70,0.829
run_91,0.821
run_13,0.820
run_96,0.811
run_15,0.809
run_47,0.807
run_33,0.804
run_54,0.803
run_101,0.802
run_17,0.795
run_41,0.786
run_103,0.783
run_86,0.780
run_92,0.774
run_11,0.766
run_109,0.765
run_100,0.752
run_37,0.736
run_32,0.705
run_90,0.690
run_74,0.676
run_95,0.671
run_48,0.594
run_19,0.461
